Mes,Tipo,Anio,F_Universo,I_Universo,Q_Universo,F_Sin,I_Sin,Q_Sin,F_Fav,I_Fav,Q_Fav,F_ Con,I_Con,Q_Con,F_SFav,I_SFav,Q_SFav,F_SCon,I_SCon,Q_SCon,F_OFav,I_OFav,Q_OFav,F_OCon,I_OCon,Q_OCon
jan,Debito,2016,45198,33255097,147978,17369,24849996,50159,14047,14387288,43643,3316,10438939,6516,4108,2305090,1764,39,30552,,1568,1297680,,16,22791,
feb,Debito,2016,50325,39139541,256887,20762,26700600,108759,17037,16138295,86786,3701,10514308,21973,5472,2894760,5507,338,188646,1500,1751,1931435,5994,37,47146,
mar,Debito,2016,62578,44010330,278333,24374,25808168,108609,19737,14646766,70884,4616,11154594,37725,5769,2769913,14394,94,91818,917,1794,1376310,5405,86,209450,
apr,Debito,2016,83671,47204916,455563,36863,28306120,152011,31838,18193267,136902,5021,10107490,15110,16299,4014644,3181,201,65892,,3316,2329945,12749,166,349720,
may,Debito,2016,67516,49861638,1234275,27467,26095022,588344,23867,17791562,446122,3570,8282100,142222,8402,2503012,30188,85,35994,9689,2602,2291642,35847,38,52730,8560
jun,Debito,2016,60713,52510058,1667215,22099,23283900,693295,19562,17195251,612159,2537,6088649,81136,5347,1973932,79636,26,22480,1041,3495,3189820,33773,12,16965,7069
jul,Debito,2016,64236,65147200,3443311,21561,25919541,1180890,18965,19547784,1018034,2593,6358701,162856,4442,2173041,272329,27,14197,5362,3615,3895670,108151,26,26028,8669
aug,Debito,2016,71458,71350714,3408133,27231,32907527,1462227,24754,24403525,1398934,2476,8503652,62943,5969,3172063,379936,11,9336,406,4463,4687547,242892,14,31642,16415
sep,Debito,2016,62357,51246352,4019144,25249,30068740,1441262,23292,24111804,1342893,1956,5954859,98368,4744,2306508,254717,11,5976,1660,4694,5256763,120625,24,97667,9389
oct,Debito,2016,57063,44207824,5120864,22993,28699282,1418794,20919,22486202,1263680,2070,6206929,155115,4421,1928559,355505,11,5228,,3970,3933513,103327,16,57137,
nov,Debito,2016,60659,42798602,3430776,28751,34144891,1501097,25784,25384555,1392595,2967,8760336,108501,5739,2794042,341013,22,17514,723,4397,4651815,131300,21,49490,1068
dec,Debito,2016,60189,45191566,1981565,26476,35651817,1162552,23432,26220745,1136809,3044,9431072,25743,4408,2004807,426089,27,15183,3771,6341,7526918,103372,55,116910,4210
