anio,mes,tipo,nombre,importe
2016,jan,,Sin registro,153069
2016,jan,,Sin registro,13156
2016,jan,,Sin registro,44578
2016,jan,,Sin registro,101
2016,jan,,Sin registro,11357
2016,jan,,Sin registro,429
2016,jan,,Sin registro,39647
2016,jan,,Sin registro,145
2016,jan,,Sin registro,30760
2016,jan,,Sin registro,42
2016,jan,,Sin registro,5856
2016,jan,,Sin registro,126729
2016,jan,,Sin registro,159
2016,jan,,ADO WALLET,22645
2016,jan,,ADO WALLET,1716
2016,jan,,ADO WALLET,4272
2016,jan,,ADO WALLET,1401
2016,jan,,ADO WALLET,664
2016,jan,,ADO WALLET,49056
2016,jan,,ADO WALLET,352
2016,jan,,ADO WALLET,54288
2016,jan,,ADO WALLET,712
2016,jan,,ADO WALLET,600
2016,jan,,ADO WALLET,7357
2016,jan,,ADO WALLET,1477
2016,jan,,ADO WALLET,27527
2016,jan,,ADO WALLET,214
2016,jan,,ADO WALLET,167
2016,jan,,ADO WALLET,9170
2016,jan,,AEROMEX CTRO T INT H2H,222720
2016,jan,,AEROMEX CTRO T INT H2H,91263
2016,jan,,AEROMEX CTRO T INT H2H,4249
2016,jan,,AEROMEX CTRO T INT H2H,20643
2016,jan,,AEROMEX CTRO T INT H2H,31974
2016,jan,,AEROMEX CTRO T INT H2H,85150
2016,jan,,AEROMEX CTRO T INT H2H,29875
2016,jan,,AEROMEX CTRO T INT H2H,563783
2016,jan,,AEROMEX CTRO T INT H2H,404790
2016,jan,,AEROMEX CTRO T INT H2H,149861
2016,jan,,AEROMEX CTRO T INT H2H,384602
2016,jan,,AEROMEX CTRO T INT H2H,45389
2016,jan,,AEROMEX CTRO T INT H2H,46989
2016,jan,,AEROMEX CTRO T INT H2H,216174
2016,jan,,AEROMEX CTRO T INT H2H,3358
2016,jan,,AEROMEX CTRO T INT H2H,3474
2016,jan,,AEROMEX CTRO T INT H2H,205221
2016,jan,,AEROMEX CTRO T INT H2H,12712
2016,jan,,AEROMEX CTRO T INT H2H,13313
2016,jan,,AEROMEX CTRO T INT H2H,10336
2016,jan,,AEROMEX CTRO T INT H2H,20398
2016,jan,,AEROMEX CTRO T INT H2H,50131
2016,jan,,AEROMEX CTRO T INT H2H,179570
2016,jan,,AEROMEXICO AV OL,135789
2016,jan,,AEROMEXICO AV OL,9070
2016,jan,,AEROMEXICO AV OL,71361
2016,jan,,AEROMEXICO AV OL,8398
2016,jan,,AEROMEXICO AV OL,99993
2016,jan,,AEROMEXICO AV OL,1726
2016,jan,,AEROMEXICO AV OL,140515
2016,jan,,AEROMEXICO AV OL,7658
2016,jan,,APPLE ONLINE STORE,20498
2016,jan,,APPLE ONLINE STORE,23198
2016,jan,,APPLE ONLINE STORE,4599
2016,jan,,APPLE ONLINE STORE,30811
2016,jan,,APPLE ONLINE STORE,13999
2016,jan,,APPLE ONLINE STORE,300
2016,jan,,APPLE ONLINE STORE,99840
2016,jan,,APPLE ONLINE STORE,231656
2016,jan,,APPLE ONLINE STORE,18499
2016,jan,,APPLE ONLINE STORE,297794
2016,jan,,APPLE ONLINE STORE,27468
2016,jan,,APPLE ONLINE STORE,33724
2016,jan,,APPLE ONLINE STORE,22357
2016,jan,,APPLE ONLINE STORE,11799
2016,jan,,APPLE ONLINE STORE,25493
2016,jan,,APPLE ONLINE STORE,86063
2016,jan,,APPLE ONLINE STORE,34798
2016,jan,,APPLE ONLINE STORE,45897
2016,jan,,APPLE ONLINE STORE,9438
2016,jan,,APPLE ONLINE STORE,27468
2016,jan,,APPLE ONLINE STORE,19725
2016,jan,,APPLE ONLINE STORE,94753
2016,jan,,APPLE ONLINE STORE,35866
2016,jan,,AT&T SERV CAB CR,5146
2016,jan,,AT&T SERV CAB CR,2146
2016,jan,,AT&T SERV CAB CR,3656
2016,jan,,AT&T SERV CAB CR,3046
2016,jan,,AT&T SERV CAB CR,26437
2016,jan,,AT&T SERV CAB CR,413743
2016,jan,,AT&T SERV CAB CR,125310
2016,jan,,AT&T SERV CAB CR,7899
2016,jan,,AT&T SERV CAB CR,90950
2016,jan,,AT&T SERV CAB CR,4361
2016,jan,,AT&T SERV CAB CR,7807
2016,jan,,AT&T SERV CAB CR,787
2016,jan,,AT&T SERV CAB CR,1145
2016,jan,,AT&T SERV CAB CR,1535
2016,jan,,AUT DE ORIENTE ADO MU,81161
2016,jan,,AUT DE ORIENTE ADO MU,1150
2016,jan,,AUT DE ORIENTE ADO MU,8408
2016,jan,,AUT DE ORIENTE ADO MU,278
2016,jan,,AUT DE ORIENTE ADO MU,18199
2016,jan,,AUT DE ORIENTE ADO MU,2520
2016,jan,,AUT DE ORIENTE ADO MU,13142
2016,jan,,AUT DE ORIENTE ADO MU,312775
2016,jan,,AUT DE ORIENTE ADO MU,308244
2016,jan,,AUT DE ORIENTE ADO MU,8812
2016,jan,,AUT DE ORIENTE ADO MU,343709
2016,jan,,AUT DE ORIENTE ADO MU,9193
2016,jan,,AUT DE ORIENTE ADO MU,2526
2016,jan,,AUT DE ORIENTE ADO MU,8948
2016,jan,,AUT DE ORIENTE ADO MU,6496
2016,jan,,AUT DE ORIENTE ADO MU,3410
2016,jan,,AUT DE ORIENTE ADO MU,472
2016,jan,,AUT DE ORIENTE ADO MU,3190
2016,jan,,AUT DE ORIENTE ADO MU,21290
2016,jan,,AUT DE ORIENTE ADO MU,826
2016,jan,,AUT DE ORIENTE ADO MU,1392
2016,jan,,AUT DE ORIENTE ADO MU,412
2016,jan,,AUT DE ORIENTE ADO MU,4698
2016,jan,,AUT DE ORIENTE ADO MU,91500
2016,jan,,AUT DE ORIENTE ADO MU,56873
2016,jan,,AUT DE ORIENTE ADO MU,6451
2016,jan,,B N M VICAM,0
2016,jan,,B N M VICAM,0
2016,jan,,CFE ENERGIA ELEC CIBCV,1640
2016,jan,,CFE ENERGIA ELEC CIBCV,1695
2016,jan,,CFE ENERGIA ELEC CIBCV,367
2016,jan,,CFE ENERGIA ELEC CIBCV,11707
2016,jan,,CFE ENERGIA ELEC CIBCV,102787
2016,jan,,CFE ENERGIA ELEC CIBCV,446418
2016,jan,,CFE ENERGIA ELEC CIBCV,270646
2016,jan,,CFE ENERGIA ELEC CIBCV,3860
2016,jan,,CFE ENERGIA ELEC CIBCV,107421
2016,jan,,CFE ENERGIA ELEC CIBCV,1073
2016,jan,,CFE ENERGIA ELEC CIBCV,20535
2016,jan,,CFE ENERGIA ELEC CIBCV,50854
2016,jan,,CFE ENERGIA ELEC CIBCV,1572
2016,jan,,CFE ENERGIA ELEC CIBCV,9256
2016,jan,,CFE ENERGIA ELEC CIBCV,2823
2016,jan,,CFE ENERGIA ELEC CIBCV,6763
2016,jan,,CFE ENERGIA ELEC CIBCV,53743
2016,jan,,CFE ENERGIA ELEC CIBCV,7277
2016,jan,,CLIP,1973
2016,jan,,CLIP,17450
2016,jan,,CLIP,36385
2016,jan,,CLIP,36111
2016,jan,,CLIP,15179
2016,jan,,CLIP,600
2016,jan,,CLIP,176290
2016,jan,,CLIP,123366
2016,jan,,CLIP,1080
2016,jan,,CLIP,390199
2016,jan,,CLIP,94392
2016,jan,,CLIP,10
2016,jan,,CLIP,11500
2016,jan,,CLIP,34
2016,jan,,CLIP,154311
2016,jan,,CLIP,167505
2016,jan,,CLIP,13852
2016,jan,,CLIP,81172
2016,jan,,CLIP,39419
2016,jan,,CLIP,32988
2016,jan,,CLIP,14779
2016,jan,,CLIP,47240
2016,jan,,CLIP,155560
2016,jan,,DESPEGAR COM,179775
2016,jan,,DESPEGAR COM,4340
2016,jan,,DESPEGAR COM,54375
2016,jan,,DESPEGAR COM,11643
2016,jan,,DESPEGAR COM,12436
2016,jan,,DESPEGAR COM,241650
2016,jan,,DESPEGAR COM,11372
2016,jan,,DESPEGAR COM,123371
2016,jan,,DESPEGAR COM,9721
2016,jan,,DESPEGAR COM,85067
2016,jan,,DESPEGAR COM,9104
2016,jan,,DESPEGAR COM,3278
2016,jan,,DESPEGAR COM,1950
2016,jan,,DESPEGAR COM,3243
2016,jan,,DESPEGAR COM,106399
2016,jan,,DESPEGAR COM,18134
2016,jan,,E TRAVEL RESERVATION,111675
2016,jan,,E TRAVEL RESERVATION,17624
2016,jan,,E TRAVEL RESERVATION,14233
2016,jan,,E TRAVEL RESERVATION,11002
2016,jan,,E TRAVEL RESERVATION,3450
2016,jan,,E TRAVEL RESERVATION,698818
2016,jan,,E TRAVEL RESERVATION,62120
2016,jan,,E TRAVEL RESERVATION,4080
2016,jan,,E TRAVEL RESERVATION,254828
2016,jan,,E TRAVEL RESERVATION,16598
2016,jan,,E TRAVEL RESERVATION,30144
2016,jan,,E TRAVEL RESERVATION,165390
2016,jan,,E TRAVEL RESERVATION,52298
2016,jan,,E TRAVEL RESERVATION,76258
2016,jan,,E TRAVEL RESERVATION,537908
2016,jan,,E TRAVEL RESERVATION,3066
2016,jan,,EKT VTA EN LINEA 3,5999
2016,jan,,EKT VTA EN LINEA 3,16296
2016,jan,,EKT VTA EN LINEA 3,2359
2016,jan,,EKT VTA EN LINEA 3,300738
2016,jan,,EKT VTA EN LINEA 3,31797
2016,jan,,EKT VTA EN LINEA 3,179124
2016,jan,,EKT VTA EN LINEA 3,16596
2016,jan,,EKT VTA EN LINEA 3,98197
2016,jan,,EKT VTA EN LINEA 3,13299
2016,jan,,EKT VTA EN LINEA 3,16596
2016,jan,,EKT VTA EN LINEA 3,95877
2016,jan,,EKT VTA EN LINEA 3,4999
2016,jan,,ETN TURISTAR INTER CIB,45401
2016,jan,,ETN TURISTAR INTER CIB,3398
2016,jan,,ETN TURISTAR INTER CIB,4211
2016,jan,,ETN TURISTAR INTER CIB,9963
2016,jan,,ETN TURISTAR INTER CIB,11442
2016,jan,,ETN TURISTAR INTER CIB,31589
2016,jan,,ETN TURISTAR INTER CIB,276420
2016,jan,,ETN TURISTAR INTER CIB,163030
2016,jan,,ETN TURISTAR INTER CIB,5621
2016,jan,,ETN TURISTAR INTER CIB,909
2016,jan,,ETN TURISTAR INTER CIB,160051
2016,jan,,ETN TURISTAR INTER CIB,288
2016,jan,,ETN TURISTAR INTER CIB,23592
2016,jan,,ETN TURISTAR INTER CIB,20027
2016,jan,,ETN TURISTAR INTER CIB,2232
2016,jan,,ETN TURISTAR INTER CIB,1280
2016,jan,,ETN TURISTAR INTER CIB,17735
2016,jan,,ETN TURISTAR INTER CIB,2426
2016,jan,,ETN TURISTAR INTER CIB,2970
2016,jan,,ETN TURISTAR INTER CIB,3100
2016,jan,,ETN TURISTAR INTER CIB,10211
2016,jan,,ETN TURISTAR INTER CIB,14023
2016,jan,,ETN TURISTAR INTER CIB,87069
2016,jan,,ETN TURISTAR INTER CIB,46036
2016,jan,,EXPEDIA MX018005630600,98270
2016,jan,,EXPEDIA MX018005630600,50336
2016,jan,,EXPEDIA MX018005630600,21199
2016,jan,,EXPEDIA MX018005630600,381816
2016,jan,,EXPEDIA MX018005630600,235085
2016,jan,,EXPEDIA MX018005630600,14735
2016,jan,,EXPEDIA MX018005630600,216830
2016,jan,,EXPEDIA MX018005630600,500
2016,jan,,EXPEDIA MX018005630600,772
2016,jan,,EXPEDIA MX018005630600,14236
2016,jan,,EXPEDIA MX018005630600,239534
2016,jan,,EXPEDIA MX018005630600,54837
2016,jan,,EXPEDIA MX018005630600,28666
2016,jan,,EXPEDIA MX018005630600,6016
