Ctes,Segmento,Tipo,Mes,Anio,Edad
1134,Sin Segmento,Credito,Jan,2017,Sin Info
1,Sin Segmento,Credito,Jan,2017,18 a 25
1,Sin Segmento,Credito,Jan,2017,18 a 25
2,Sin Segmento,Credito,Jan,2017,18 a 25
2,Sin Segmento,Credito,Jan,2017,18 a 25
4,Sin Segmento,Credito,Jan,2017,18 a 25
1,Sin Segmento,Credito,Jan,2017,25 a 30
1,Sin Segmento,Credito,Jan,2017,25 a 30
3,Sin Segmento,Credito,Jan,2017,25 a 30
2,Sin Segmento,Credito,Jan,2017,25 a 30
3,Sin Segmento,Credito,Jan,2017,25 a 30
1,Sin Segmento,Credito,Jan,2017,25 a 30
4,Sin Segmento,Credito,Jan,2017,25 a 30
3,Sin Segmento,Credito,Jan,2017,25 a 30
3,Sin Segmento,Credito,Jan,2017,25 a 30
2,Sin Segmento,Credito,Jan,2017,25 a 30
2,Sin Segmento,Credito,Jan,2017,35 a 45
5,Sin Segmento,Credito,Jan,2017,35 a 45
3,Sin Segmento,Credito,Jan,2017,35 a 45
1,Sin Segmento,Credito,Jan,2017,35 a 45
4,Sin Segmento,Credito,Jan,2017,35 a 45
1,Sin Segmento,Credito,Jan,2017,35 a 45
1,Sin Segmento,Credito,Jan,2017,35 a 45
4,Sin Segmento,Credito,Jan,2017,35 a 45
6,Sin Segmento,Credito,Jan,2017,45 a 55
1,Sin Segmento,Credito,Jan,2017,45 a 55
2,Sin Segmento,Credito,Jan,2017,45 a 55
1,Sin Segmento,Credito,Jan,2017,45 a 55
1,Sin Segmento,Credito,Jan,2017,45 a 55
2,Sin Segmento,Credito,Jan,2017,45 a 55
3,Sin Segmento,Credito,Jan,2017,45 a 55
2,Sin Segmento,Credito,Jan,2017,45 a 55
1,Sin Segmento,Credito,Jan,2017,45 a 55
1,Sin Segmento,Credito,Jan,2017,55 a 65
3,Sin Segmento,Credito,Jan,2017,55 a 65
2,Sin Segmento,Credito,Jan,2017,55 a 65
