Mes,Anio,Importe,Mediana,Segmento
Jan,2016,Balance,14338.14,Sin Segmento
Jan,2016,Balance,32350.94,Sin Segmento
Jan,2016,Balance,13464.86,Sin Segmento
Jan,2016,Balance,70552.57,Sin Segmento
Jan,2016,Balance,8793.48,Priority
Jan,2016,Balance,19582.75,Citibanamex1
Jan,2016,Balance,28874.83,CPC
Jan,2016,Balance,21688.06,Citibanamex1
Jan,2016,Balance,22838.16,CitiGold 1
Jan,2016,Balance,18947.3,CitiGold 2
Jan,2016,Balance,0,Priority
Jan,2016,Balance,14937.21,Citibanamex1
Jan,2016,Balance,6645.23,Ingresos Bajos - Adultos
Jan,2016,Balance,5913.73,Ingresos Bajos - Jovenes
Jan,2016,Balance,2339,Ingresos Marginales
Jan,2016,Balance,6633.05,Ingresos Marginales Nomina
Jan,2016,Balance,10475.74,Ingresos Medios - Adultos
Jan,2016,Balance,9605.68,Ingresos Medios - Jovenes
Jan,2016,Balance,7652.11,Jovenes Profesionistas
Jan,2016,Balance,7792.25,Jubilados No Nomina
Jan,2016,Balance,10041.94,Jubilados Nomina
Jan,2016,Balance,16714.81,Priority
Jan,2016,Balance,17142.41,PyME PFAE
Jan,2016,Balance,27187.68,Sin Segmento
Jan,2017,Balance,29902.33,Sin Segmento
Jan,2017,Balance,25189.83,Sin Segmento
Jan,2017,Balance,18267.5,Sin Segmento
Jan,2017,Balance,11701.37,Priority
Jan,2017,Balance,21753.6,Citibanamex1
Jan,2017,Balance,28561.09,CPC
Jan,2017,Balance,21449.16,Citibanamex1
Jan,2017,Balance,20817.63,CitiGold 1
Jan,2017,Balance,22475.34,CitiGold 2
Jan,2017,Balance,79103.12,Priority
Jan,2017,Balance,22220.79,Citibanamex1
Jan,2017,Balance,7205.28,Ingresos Bajos - Adultos
Jan,2017,Balance,5658.24,Ingresos Bajos - Jovenes
Jan,2017,Balance,2397.87,Ingresos Marginales
Jan,2017,Balance,8177.25,Ingresos Marginales Nomina
Jan,2017,Balance,11736.09,Ingresos Medios - Adultos
Jan,2017,Balance,9982.97,Ingresos Medios - Jovenes
Jan,2017,Balance,9125.36,Jovenes Profesionistas
Jan,2017,Balance,9019.94,Jubilados No Nomina
Jan,2017,Balance,11925.77,Jubilados Nomina
Jan,2017,Balance,16719.8,Priority
Jan,2017,Balance,16051.79,PyME PFAE
Jan,2017,Balance,29774.86,Sin Segmento
Feb,2016,Balance,17875.01,Sin Segmento
Feb,2016,Balance,31042.16,Sin Segmento
Feb,2016,Balance,19713.17,Sin Segmento
Feb,2016,Balance,114759.64,Sin Segmento
Feb,2016,Balance,9465.54,Priority
Feb,2016,Balance,19454.87,Citibanamex1
Feb,2016,Balance,21077.78,CPC
Feb,2016,Balance,19538.88,Citibanamex1
Feb,2016,Balance,21837.44,CitiGold 1
Feb,2016,Balance,20724.44,CitiGold 2
Feb,2016,Balance,77089.49,Priority
Feb,2016,Balance,37827.39,Citibanamex1
Feb,2016,Balance,6432.48,Ingresos Bajos - Adultos
Feb,2016,Balance,5187.42,Ingresos Bajos - Jovenes
Feb,2016,Balance,2104.18,Ingresos Marginales
Feb,2016,Balance,7319.02,Ingresos Marginales Nomina
Feb,2016,Balance,10111.34,Ingresos Medios - Adultos
Feb,2016,Balance,9279.76,Ingresos Medios - Jovenes
Feb,2016,Balance,7830.24,Jovenes Profesionistas
Feb,2016,Balance,7957.55,Jubilados No Nomina
Feb,2016,Balance,9496.9,Jubilados Nomina
Feb,2016,Balance,20657.39,Priority
Feb,2016,Balance,15572.88,PyME PFAE
Feb,2016,Balance,29838.51,Sin Segmento
Feb,2017,Balance,28385.25,Sin Segmento
Feb,2017,Balance,21167.15,Sin Segmento
Feb,2017,Balance,22002.92,Sin Segmento
Feb,2017,Balance,24936.79,Citibanamex1
Feb,2017,Balance,13033.7,Priority
Feb,2017,Balance,14993.54,Priority
Feb,2017,Balance,26115.25,Citibanamex1
Feb,2017,Balance,37219.08,CPC
Feb,2017,Balance,26020.8,Citibanamex1
Feb,2017,Balance,21404.42,CitiGold 1
Feb,2017,Balance,23046.03,CitiGold 2
Feb,2017,Balance,21546.02,Priority
Feb,2017,Balance,24887.51,Citibanamex1
Feb,2017,Balance,7868.3,Ingresos Bajos - Adultos
Feb,2017,Balance,6336.84,Ingresos Bajos - Jovenes
Feb,2017,Balance,2525.13,Ingresos Marginales
